State,District,Year,Season,Crop,Area,Production,Yield,AvgTemperature,MaxTemperature,MinTemperature,TotalRainfall,AvgRainfall,MaxRainfall,AvgHumidity,AvgWindSpeed,RainyDays,TemperatureStd,RainfallStd
Tamil Nadu,ARIYALUR,2009,Whole Year,Moong(Green Gram),13.0,11.0,0.8461538461538461,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Onion,47.0,458.0,9.74468085106383,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Ragi,47.0,130.0,2.765957446808511,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Kharif,Rice,25978.0,80462.0,3.097313111094002,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Sesamum,1652.0,452.0,0.2736077481840194,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Kharif,Small millets,404.0,649.0,1.6064356435643563,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Sugarcane,6970.0,809944.0,116.20430416068866,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Sunflower,111.0,148.0,1.3333333333333333,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Sweet potato,2.0,29.0,14.5,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Tapioca,257.0,8858.0,34.46692607003891,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Turmeric,21.0,106.0,5.047619047619048,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2009,Whole Year,Urad,1046.0,400.0,0.3824091778202677,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68
Tamil Nadu,ARIYALUR,2010,Kharif,Arhar/Tur,209.0,138.0,0.6602870813397129,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Cotton(lint),5684.0,9361.0,1.6469035890218156,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Groundnut,12058.0,37266.0,3.090562282302206,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Maize,9996.0,8630.0,0.863345338135254,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Moong(Green Gram),4.0,2.0,0.5,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Ragi,42.0,109.0,2.595238095238096,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Rice,25211.0,97869.0,3.881995954147,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Whole Year,Sesamum,1228.0,663.0,0.5399022801302932,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Whole Year,Sugarcane,7500.0,739006.0,98.53413333333332,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Sunflower,202.0,245.0,1.2128712871287128,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2010,Kharif,Urad,1526.0,741.0,0.4855832241153342,27.98,33.53,21.89,1277.48,3.5,59.36,73.7,2.7,158,2.82,6.56
Tamil Nadu,ARIYALUR,2011,Whole Year,Arhar/Tur,192.0,167.0,0.8697916666666666,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Rabi,Bajra,6.0,18.0,3.0,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Bajra,590.0,1499.0,2.5406779661016947,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Banana,144.0,6292.0,43.69444444444444,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Cashewnut,29930.0,6468.0,0.2161042432342131,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Coriander,75.0,35.0,0.4666666666666667,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Rabi,Cotton(lint),150.0,413.0,2.7533333333333334,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Cotton(lint),7661.0,36179.0,4.722490536483488,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Dry chillies,735.0,509.0,0.6925170068027211,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Rabi,Groundnut,3028.0,18093.0,5.975231175693527,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Groundnut,9999.0,35766.0,3.576957695769577,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Rabi,Jowar,15.0,22.0,1.4666666666666666,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Jowar,1659.0,2114.0,1.2742616033755274,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Rabi,Maize,357.0,2374.0,6.649859943977591,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Maize,11778.0,60881.0,5.169043980302258,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Moong(Green Gram),6.0,4.0,0.6666666666666666,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Onion,26.0,329.0,12.653846153846152,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Rabi,Ragi,3.0,9.0,3.0,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Ragi,14.0,37.0,2.642857142857143,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Kharif,Rice,24097.0,97257.0,4.0360625804042,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Sesamum,1135.0,458.0,0.4035242290748899,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Small millets,259.0,705.0,2.722007722007722,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Sugarcane,7967.0,880259.0,110.48813857160788,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Sunflower,228.0,418.0,1.8333333333333333,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Tapioca,273.0,10282.0,37.663003663003664,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Turmeric,100.0,548.0,5.48,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2011,Whole Year,Urad,1496.0,1163.0,0.7774064171122995,27.92,32.91,21.87,1019.06,2.79,50.16,71.35,2.97,130,2.87,6.24
Tamil Nadu,ARIYALUR,2012,Kharif,Arhar/Tur,99.0,78.0,0.7878787878787878,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Cotton(lint),8634.0,15664.0,1.81422283993514,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Groundnut,9108.0,23014.0,2.5267896354852875,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Maize,14743.0,35469.0,2.405819711049312,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Moong(Green Gram),2.0,1.0,0.5,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Ragi,8.0,15.0,1.875,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Rice,17523.0,36392.0,2.0768133310506194,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Whole Year,Sesamum,633.0,254.0,0.4012638230647709,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Whole Year,Sugarcane,7804.0,707584.0,90.6694003075346,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Sunflower,754.0,922.0,1.2228116710875332,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2012,Kharif,Urad,1703.0,924.0,0.5425719318849089,28.23,33.19,21.47,858.52,2.35,64.19,70.06,2.89,108,2.74,6.16
Tamil Nadu,ARIYALUR,2013,Whole Year,Arhar/Tur,236.0,228.0,0.9661016949152542,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Bajra,95.0,190.0,2.0,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Bajra,777.0,2888.0,3.716859716859717,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Banana,131.0,5441.0,41.534351145038165,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Cashewnut,30152.0,6600.0,0.2188909525072963,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Coriander,14.0,5.0,0.3571428571428571,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Cotton(lint),303.0,727.0,2.3993399339933994,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Cotton(lint),8815.0,29867.0,3.388201928530913,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Dry chillies,212.0,58.0,0.2735849056603773,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Groundnut,6436.0,21168.0,3.2889993784959604,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Groundnut,3571.0,21760.0,6.09353122374685,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Horse-gram,1.0,1.0,1.0,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Jowar,63.0,136.0,2.1587301587301586,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Jowar,809.0,1004.0,1.2410383189122374,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Maize,615.0,3076.0,5.001626016260163,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Maize,17153.0,91257.0,5.320177228473153,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Moong(Green Gram),23.0,13.0,0.5652173913043478,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Onion,7.0,59.0,8.428571428571429,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Onion,36.0,419.0,11.63888888888889,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Ragi,11.0,44.0,4.0,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Ragi,38.0,104.0,2.736842105263158,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Rice,24437.0,131658.0,5.387649875189262,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Sesamum,607.0,358.0,0.5897858319604613,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Sesamum,882.0,402.0,0.4557823129251701,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Small millets,187.0,491.0,2.625668449197861,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Sugarcane,9875.0,1112304.0,112.63837974683544,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Sunflower,1.0,1.0,1.0,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Sunflower,76.0,137.0,1.8026315789473684,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Tapioca,189.0,5655.0,29.92063492063492,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Whole Year,Turmeric,61.0,224.0,3.672131147540984,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Rabi,Urad,1485.0,1267.0,0.8531986531986532,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2013,Kharif,Urad,1951.0,1639.0,0.8400820092260379,28.56,34.34,22.07,773.79,2.12,52.79,68.09,3.13,112,2.64,4.9
Tamil Nadu,ARIYALUR,2014,Rabi,Bajra,63.0,198.0,3.142857142857143,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Bajra,658.0,2155.0,3.2750759878419453,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Banana,156.0,6350.0,40.70512820512821,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Cashewnut,30283.0,11889.0,0.3925965062906581,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Coriander,31.0,27.0,0.8709677419354839,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Cotton(lint),536.0,1829.0,3.412313432835821,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Cotton(lint),12841.0,42839.0,3.336110894790125,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Dry chillies,224.0,176.0,0.7857142857142857,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Groundnut,4897.0,16609.0,3.3916683683888094,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Groundnut,4070.0,21704.0,5.332678132678133,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Horse-gram,5.0,4.0,0.8,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Jowar,17.0,37.0,2.176470588235294,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Jowar,758.0,1966.0,2.5936675461741423,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Maize,1226.0,9195.0,7.5,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Maize,13599.0,133540.0,9.819839694095156,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Moong(Green Gram),2.0,1.0,0.5,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Moong(Green Gram),2.0,2.0,1.0,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Onion,15.0,129.0,8.6,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Onion,92.0,781.0,8.48913043478261,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Ragi,20.0,60.0,3.0,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Ragi,18.0,76.0,4.222222222222222,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Rice,23108.0,116239.0,5.030249264324044,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Sesamum,376.0,163.0,0.4335106382978723,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Sesamum,759.0,554.0,0.7299077733860343,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Small millets,26.0,100.0,3.8461538461538463,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Small millets,125.0,479.0,3.832,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Sugarcane,7493.0,784134.0,104.64887228079542,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Sunflower,1.0,1.0,1.0,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Sunflower,274.0,488.0,1.781021897810219,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Sweet potato,1.0,18.0,18.0,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Tapioca,303.0,9829.0,32.43894389438944,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Whole Year,Turmeric,39.0,157.0,4.0256410256410255,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Kharif,Urad,1146.0,924.0,0.806282722513089,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2014,Rabi,Urad,2820.0,2795.0,0.9911347517730495,28.38,32.62,22.67,896.37,2.46,43.87,69.06,3.04,124,2.63,5.44
Tamil Nadu,ARIYALUR,2015,Rabi,Bajra,59.0,144.0,2.440677966101695,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Kharif,Bajra,649.0,2305.0,3.551617873651772,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Whole Year,Banana,178.0,6821.0,38.32022471910113,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Whole Year,Cashewnut,30343.0,2124.0,0.0699996704346966,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Whole Year,Coriander,28.0,17.0,0.6071428571428571,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Rabi,Cotton(lint),282.0,836.0,2.964539007092198,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Kharif,Cotton(lint),8907.0,12732.0,1.429437521050859,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Whole Year,Dry chillies,211.0,162.0,0.7677725118483413,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Kharif,Groundnut,4351.0,14672.0,3.3720983681912204,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Rabi,Groundnut,4242.0,21562.0,5.082979726544083,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Kharif,Horse-gram,1.0,1.0,1.0,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Rabi,Horse-gram,4.0,2.0,0.5,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Rabi,Jowar,6.0,10.0,1.6666666666666667,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Kharif,Jowar,299.0,313.0,1.0468227424749164,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
Tamil Nadu,ARIYALUR,2015,Rabi,Maize,663.0,4537.0,6.8431372549019605,28.12,32.53,22.41,1427.28,3.91,68.17,72.31,2.8,149,2.43,8.52
